sample,x,y,tangent_x_q12,tangent_y_q12
379,-5686,2757,-1885,-3636
380,-5715,2700,-1820,-3669
381,-5743,2642,-1757,-3700
382,-5769,2584,-1695,-3729
383,-5795,2526,-1635,-3756
384,-5821,2467,-1576,-3781
385,-5845,2408,-1517,-3805
386,-5868,2348,-1459,-3827
387,-5890,2288,-1400,-3849
388,-5912,2228,-1341,-3870
389,-5932,2167,-1282,-3890
390,-5952,2106,-1222,-3910
391,-5970,2045,-1161,-3928
392,-5988,1983,-1098,-3946
393,-6005,1922,-1034,-3963
394,-6020,1860,-967,-3980
395,-6035,1797,-899,-3996
396,-6048,1735,-828,-4011
397,-6061,1672,-754,-4026
398,-6072,1609,-677,-4040
399,-6082,1546,-595,-4053
400,-6091,1482,-509,-4064
401,-6098,1419,-419,-4075
402,-6104,1355,-322,-4083
403,-6108,1291,-220,-4090
404,-6110,1227,-110,-4095
405,-6111,1163,7,-4096
406,-6110,1099,134,-4094
407,-6107,1035,271,-4087
408,-6102,971,418,-4075
409,-6094,908,579,-4055
410,-6083,845,753,-4026
411,-6070,782,942,-3986
412,-6054,720,1147,-3932
413,-6034,659,1369,-3861
414,-6011,600,1606,-3768
415,-5984,542,1858,-3651
416,-5956,484,1756,-3701
417,-5927,427,2001,-3574
418,-5894,373,2256,-3419
419,-5856,321,2514,-3233
420,-5815,272,2769,-3018
421,-5770,226,3013,-2775
422,-5721,185,3237,-2509
423,-5669,148,3436,-2229
424,-5614,115,3606,-1943
425,-5556,87,3746,-1658
426,-5497,64,3856,-1382
427,-5436,44,3940,-1120
428,-5374,29,4001,-875
429,-5311,17,4044,-648
430,-5248,8,4072,-440
431,-5184,3,4088,-250
432,-5120,0,4095,-77
433,-5056,0,4096,0
434,-4992,0,4096,0
435,-4928,0,4096,0
436,-4864,0,4096,0
437,-4800,0,4096,0
438,-4736,0,4096,0
439,-4672,0,4096,0
440,-4608,0,4096,0
441,-4544,0,4096,0
442,-4480,0,4096,0
443,-4416,0,4096,0
444,-4352,0,4096,0
445,-4288,0,4096,0
446,-4224,0,4096,0
447,-4160,0,4096,0
448,-4096,0,4096,0
449,-4032,0,4096,0
450,-3968,0,4096,0
451,-3904,0,4096,0
452,-3840,0,4096,0
453,-3776,0,4096,0
454,-3712,0,4096,0
455,-3648,0,4096,0
456,-3584,0,4096,0
457,-3520,0,4096,0
458,-3456,0,4096,0
459,-3392,0,4096,0
460,-3328,0,4096,0
461,-3264,0,4096,0
462,-3200,0,4096,0
463,-3136,0,4096,0
464,-3072,0,4096,0
465,-3008,0,4096,0
466,-2944,0,4096,0
467,-2880,0,4096,0
468,-2816,0,4096,0
469,-2752,0,4096,0
470,-2688,0,4096,0
471,-2624,0,4096,0
472,-2560,0,4096,0
473,-2496,0,4096,0
474,-2432,0,4096,0
475,-2368,0,4096,0
476,-2304,0,4096,0
477,-2240,0,4096,0
478,-2176,0,4096,0
479,-2112,0,4096,0
480,-2048,0,4096,0
481,-1984,0,4096,0
482,-1920,0,4096,0
483,-1856,0,4096,0
484,-1792,0,4096,0
485,-1728,0,4096,0
486,-1664,0,4096,0
487,-1600,0,4096,0
488,-1536,0,4096,0
489,-1472,0,4096,0
490,-1408,0,4096,0
491,-1344,0,4096,0
492,-1280,0,4096,0
493,-1216,0,4096,0
494,-1152,0,4096,0
495,-1088,0,4096,0
496,-1024,0,4096,0
497,-960,0,4096,0
498,-896,0,4096,0
499,-832,0,4096,0
500,-768,0,4096,0
501,-704,0,4096,0
502,-640,0,4096,0
503,-576,0,4096,0
504,-512,0,4096,0
505,-448,0,4096,0
506,-384,0,4096,0
507,-320,0,4096,0
508,-256,0,4096,0
509,-192,0,4096,0
510,-128,0,4096,0
511,-64,0,4096,0
